,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,hygiene_rate,Infected,Susceptible,Resistant
0,0,0,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
1,1,0,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,5,5
2,2,0,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,0,10
3,3,0,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,0,10
4,4,0,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,9,1
5,5,0,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,2,8
6,6,0,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,9,1
7,7,0,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
8,8,0,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
9,9,0,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,2,8
10,10,0,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,9,1
11,11,1,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
12,12,1,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,2,8
13,13,1,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
14,14,1,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,0,10
15,15,1,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,5,5
16,16,1,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,8,2
17,17,1,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,3,7
18,18,1,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
19,19,1,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
20,20,1,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,8,2
21,21,1,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
22,22,2,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
23,23,2,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,2,8
24,24,2,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,3,7
25,25,2,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,3,7
26,26,2,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,10,0
27,27,2,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
28,28,2,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
29,29,2,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,3,7
30,30,2,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
31,31,2,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
32,32,2,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
33,33,3,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,3,7
34,34,3,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,9,1
35,35,3,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
36,36,3,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,1,9
37,37,3,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,1,9
38,38,3,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
39,39,3,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,5,5
40,40,3,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
41,41,3,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
42,42,3,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
43,43,3,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
44,44,4,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,5,5
45,45,4,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,1,9
46,46,4,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
47,47,4,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,1,9
48,48,4,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,1,9
49,49,4,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
50,50,4,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
51,51,4,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,0,10
52,52,4,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,9
53,53,4,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,6,4
54,54,4,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,1,9
55,55,5,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,3,7
56,56,5,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,2,8
57,57,5,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,0,10
58,58,5,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,4,6
59,59,5,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,8
60,60,5,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
61,61,5,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
62,62,5,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
63,63,5,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
64,64,5,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
65,65,5,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
66,66,6,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9
67,67,6,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,1,9
68,68,6,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
69,69,6,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,2,8
70,70,6,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,1,9
71,71,6,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,4,6
72,72,6,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,10
73,73,6,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
74,74,6,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,6,4
75,75,6,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,1,9
76,76,6,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
77,77,7,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,0,10
78,78,7,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,0,10
79,79,7,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,3,7
80,80,7,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,2,8
81,81,7,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,3,7
82,82,7,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,9
83,83,7,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,9,1
84,84,7,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,9,1
85,85,7,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,0,10
86,86,7,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,1,9
87,87,7,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,2,8
88,88,8,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,0,10
89,89,8,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,2,8
90,90,8,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,9
91,91,8,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,1,9
92,92,8,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,8
93,93,8,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,9
94,94,8,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,8,2
95,95,8,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,9
96,96,8,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,8,2
97,97,8,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,10
98,98,8,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,0,10
99,99,9,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,9,1
100,100,9,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,0,10
101,101,9,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
102,102,9,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,3,7
103,103,9,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,4,6
104,104,9,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,0,10
105,105,9,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
106,106,9,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,9,1
107,107,9,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,2,8
108,108,9,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,3,7
109,109,9,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,2,8
110,110,10,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,2,8
111,111,10,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,2,8
112,112,10,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,2,8
113,113,10,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,2,8
114,114,10,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,9,1
115,115,10,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,2,8
116,116,10,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,1,9
117,117,10,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,0,10
